name,title,xpath,grid_name,parent_grid_name,type,widget,container,format,ignore_empty,ignore_autocalc_check,export_result,force_def_val,disabled,readonly,required,weight,allow_cyrillic,default_value,options,attributes,class,rows,minlength,maxlength,decimal_length,pattern,exclude_from_xml,extensions,max_size,tag
ENT_NAME,Denumirea completa a contribuabilului,dec/DataSet/Header/ENT_NAME,,,text,textfield,,,0,0,0,0,0,0,1,1,0,@agent_name,,,text,0,0,0,0,,0,,,
STREET,Adresa,dec/DataSet/Header/STREET,,,text,textfield,,,0,0,0,0,0,0,0,2,0,@street,,,,0,0,100,0,,0,,,
FISCCOD_FISC,Inspectoratul Fiscal de Stat pe r-nul (mun.),dec/DataSet/Header/FISCCOD_FISC,,,custom,select,%02d,%02d,0,0,0,0,1,0,1,3,0,@ifs,<?php return classifiers_get_list('ifs'); ?>,,,0,2,2,0,,0,,,
CUATM,Codul localităţii (CUATM),dec/DataSet/Header/CUATM,,,custom,select,%04d,%04d,0,0,0,0,1,0,1,4,0,@cuatm,<?php return classifiers_get_list('cuatm'); ?>,,,0,4,4,0,,0,,,
IDNO,Codul fiscal,dec/DataSet/Header/IDNO,,,text,textfield,,,0,0,0,0,1,0,1,5,0,@fisccode,,,text,0,0,15,0,,0,,,
CFP,Forma de proprietate,dec/DataSet/Header/CFP,,,text,select2,,,0,0,0,0,0,0,1,6,0,@cuiio_cfp_code,<?php return classifiers_get_list('forma_de_proprietate'); ?>,,text,0,0,100,0,,0,,,
CFOJ,Forma organizatorico-juridică,dec/DataSet/Header/CFOJ,,,text,select2,,,0,0,0,0,0,0,1,7,0,@cuiio_cfoj_code,<?php return classifiers_get_list('forma_organizatorico_juridica'); ?>,,text,0,0,100,0,,0,,,
CAEM,Activitatea principală,dec/DataSet/Header/CAEM,,,text,select2,,,0,0,0,0,0,0,1,8,0,@cuiio_caem_code,<?php return declarations_get_caem_list('vocabulary_18'); ?>,,text,0,0,300,0,,0,,,
IDNO,Codul fiscal,dec/DataSet/Header/IDNO,,,text,textfield,,,0,0,0,0,1,0,0,9,0,@fisccode,,,text,0,0,15,0,,0,,,
HEAD,Conducătorul,dec/DataSet/Header/HEAD,,,text,textfield,,textfield,0,0,0,0,0,0,0,10,0,,,,text,0,0,0,0,,0,,,
EMAIL,e-mail,dec/DataSet/Header/emal,,,text,textfield,,,0,0,0,0,0,0,0,11,0,@email,,,,0,0,60,0,,0,,,
PHONE,Numar telefon,dec/DataSet/Header/PHONE,,,text,textfield,,,0,0,0,0,0,0,0,12,0,@cuiio_telefon,,,,0,0,12,0,,0,,,
nalogPeriodLetter,Perioada fiscală,dec/DataSet/Header/nalogPeriodLetter,,,period_type,hidden,,,0,0,0,0,0,0,0,17,0,A,,,,0,0,0,0,,0,,,
nalogPeriodType,Perioada fiscală ,dec/DataSet/Header/nalogPeriodType,,,period,hidden,,,0,0,0,0,0,0,1,79,0,@last_year_period,,,text,0,0,0,0,,0,,,
YEAR,Perioada fiscală,dec/DataSet/Header/YEAR,,,period_year,select,,,0,0,0,0,0,0,0,18,0,,,,,0,0,0,0,,0,,,
CUIIO,Cod CUIÎO,dec/DataSet/Header/CUIIO,,,text,textfield,,,0,0,0,0,0,0,1,17,0,@cuiio,,,,0,5,8,0,,0,,,
EXECUTOR,Executant,dec/DataSet/Header/EXECUTOR,,,text,textfield,,,0,0,0,0,0,0,0,18,0,,,,,0,0,0,0,,0,,,
CAP1_R10_C1,Rînd. 10 col.1,dec/DataSet/Data/CAP1_R10_C1,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R10_C2,Rînd. 10 col.2,dec/DataSet/Data/CAP1_R10_C2,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R10_C3,Rînd. 10 col.3,dec/DataSet/Data/CAP1_R10_C3,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R10_C4,Rînd. 10 col.4,dec/DataSet/Data/CAP1_R10_C4,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R10_C5,Rînd. 10 col.5,dec/DataSet/Data/CAP1_R10_C5,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R10_C6,Rînd. 10 col.6,dec/DataSet/Data/CAP1_R10_C6,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R10_C7,Rînd. 10 col.7,dec/DataSet/Data/CAP1_R10_C7,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R10_C8,Rînd. 10 col.8,dec/DataSet/Data/CAP1_R10_C8,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R11_C1,Rînd. 11 col.1,dec/DataSet/Data/CAP1_R11_C1,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R11_C2,Rînd. 11 col.2,dec/DataSet/Data/CAP1_R11_C2,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R11_C3,Rînd. 11 col.3,dec/DataSet/Data/CAP1_R11_C3,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R11_C4,Rînd. 11 col.4,dec/DataSet/Data/CAP1_R11_C4,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R11_C5,Rînd. 11 col.5,dec/DataSet/Data/CAP1_R11_C5,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R11_C6,Rînd. 11 col.6,dec/DataSet/Data/CAP1_R11_C6,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R11_C7,Rînd. 11 col.7,dec/DataSet/Data/CAP1_R11_C7,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R11_C8,Rînd. 11 col.8,dec/DataSet/Data/CAP1_R11_C8,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R12_C1,Rînd. 12 col.1,dec/DataSet/Data/CAP1_R12_C1,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R12_C2,Rînd. 12 col.2,dec/DataSet/Data/CAP1_R12_C2,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R12_C3,Rînd. 12 col.3,dec/DataSet/Data/CAP1_R12_C3,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R12_C4,Rînd. 12 col.4,dec/DataSet/Data/CAP1_R12_C4,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R12_C5,Rînd. 12 col.5,dec/DataSet/Data/CAP1_R12_C5,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R12_C6,Rînd. 12 col.6,dec/DataSet/Data/CAP1_R12_C6,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
CAP1_R12_C7,Rînd. 12 col.7,dec/DataSet/Data/CAP1_R12_C7,,,numeric,textfield,,,0,0,0,0,0,0,0,12,0,,,,table number,0,0,15,0,,0,,,
